Well-No.	Plate-ID	Image-No.	Control	Field-of-View	X-Coord	Y-Coord	Classes
15004000	VAMP_DEG_Pl104_20150619	Z:/WIEBKE_SANTOSH/20150619/image_data_plate_maps/VAMP_DEG_Pl104_20150619/Meas_01(2015-06-19_15-35-18)/015004000.flex	CB5-ER	8	327	64	1
15007000	VAMP_DEG_Pl104_20150619	Z:/WIEBKE_SANTOSH/20150619/image_data_plate_maps/VAMP_DEG_Pl104_20150619/Meas_01(2015-06-19_15-35-18)/015007000.flex	CB5-ER	3	498	131	1
9007000	VAMP_DEG_Pl104_20150619	Z:/WIEBKE_SANTOSH/20150619/image_data_plate_maps/VAMP_DEG_Pl104_20150619/Meas_01(2015-06-19_15-35-18)/009007000.flex	CB5-ER	12	145	373	1
14008000	VAMP_DEG_Pl104_20150619	Z:/WIEBKE_SANTOSH/20150619/image_data_plate_maps/VAMP_DEG_Pl104_20150619/Meas_01(2015-06-19_15-35-18)/014008000.flex	CB5-ER	9	604	148	1
10009000	VAMP_DEG_Pl104_20150619	Z:/WIEBKE_SANTOSH/20150619/image_data_plate_maps/VAMP_DEG_Pl104_20150619/Meas_01(2015-06-19_15-35-18)/010009000.flex	CB5-ER	10	419	456	1
7013000	VAMP_DEG_CONTR_BIN1_PL87_20141028	Z:/WIEBKE_SANTOSH/20141028/image_data_plate_maps/VAMP_DEG_CONTR_BIN1_PL87_20141028/Meas_01(2014-10-28_15-32-20)/007013000.flex	CB5-ER	10	61	437	2
10012000	VAMP_DEG_Pl104_20150619	Z:/WIEBKE_SANTOSH/20150619/image_data_plate_maps/VAMP_DEG_Pl104_20150619/Meas_01(2015-06-19_15-35-18)/010012000.flex	CB5-ER	2	587	449	2
9007000	VAMP_DEG_Pl104_20150619	Z:/WIEBKE_SANTOSH/20150619/image_data_plate_maps/VAMP_DEG_Pl104_20150619/Meas_01(2015-06-19_15-35-18)/009007000.flex	CB5-ER	3	78	162	2
15004000	VAMP_DEG_Pl104_20150619	Z:/WIEBKE_SANTOSH/20150619/image_data_plate_maps/VAMP_DEG_Pl104_20150619/Meas_01(2015-06-19_15-35-18)/015004000.flex	CB5-ER	8	327	64	2
12010000	VAMP_DEG_Pl104_20150619	Z:/WIEBKE_SANTOSH/20150619/image_data_plate_maps/VAMP_DEG_Pl104_20150619/Meas_01(2015-06-19_15-35-18)/012010000.flex	CB5-ER	11	518	417	2
15004000	VAMP_DEG_Pl104_20150619	Z:/WIEBKE_SANTOSH/20150619/image_data_plate_maps/VAMP_DEG_Pl104_20150619/Meas_01(2015-06-19_15-35-18)/015004000.flex	CB5-ER	8	327	64	3
9007000	VAMP_DEG_Pl104_20150619	Z:/WIEBKE_SANTOSH/20150619/image_data_plate_maps/VAMP_DEG_Pl104_20150619/Meas_01(2015-06-19_15-35-18)/009007000.flex	CB5-ER	12	145	373	3
15007000	VAMP_DEG_Pl104_20150619	Z:/WIEBKE_SANTOSH/20150619/image_data_plate_maps/VAMP_DEG_Pl104_20150619/Meas_01(2015-06-19_15-35-18)/015007000.flex	CB5-ER	3	498	131	3
10006000	VAMP_DEG_Pl104_20150619	Z:/WIEBKE_SANTOSH/20150619/image_data_plate_maps/VAMP_DEG_Pl104_20150619/Meas_01(2015-06-19_15-35-18)/010006000.flex	CB5-ER	3	97	257	3
11006000	VAMP_DEG_Pl104_20150619	Z:/WIEBKE_SANTOSH/20150619/image_data_plate_maps/VAMP_DEG_Pl104_20150619/Meas_01(2015-06-19_15-35-18)/011006000.flex	CB5-ER	11	613	100	3
15018000	VAMP_DEG_BIN1_CB5_PL87_20141030	Z:/WIEBKE_SANTOSH/20141030/image_data_plate_maps/VAMP_DEG_BIN1_ER_PL87_20141030/Meas_01(2014-10-30_14-08-14)/015018000.flex	ER-PRO	15	510	235	4
11023000	VAMP_DEG_BIN1_CB5_PL87_20141030	Z:/WIEBKE_SANTOSH/20141030/image_data_plate_maps/VAMP_DEG_BIN1_ER_PL87_20141030/Meas_01(2014-10-30_14-08-14)/011023000.flex	ER-PRO	13	570	138	4
15019000	VAMP_DEG_BIN1_CB5_PL87_20141030	Z:/WIEBKE_SANTOSH/20141030/image_data_plate_maps/VAMP_DEG_BIN1_ER_PL87_20141030/Meas_01(2014-10-30_14-08-14)/015019000.flex	ER-PRO	11	179	351	4
15019000	VAMP_DEG_BIN1_CB5_PL87_20141030	Z:/WIEBKE_SANTOSH/20141030/image_data_plate_maps/VAMP_DEG_BIN1_ER_PL87_20141030/Meas_01(2014-10-30_14-08-14)/015019000.flex	ER-PRO	6	306	103	4
10019000	VAMP_DEG_BIN1_CB5_PL87_20141030	Z:/WIEBKE_SANTOSH/20141030/image_data_plate_maps/VAMP_DEG_BIN1_ER_PL87_20141030/Meas_01(2014-10-30_14-08-14)/010019000.flex	ER-PRO	17	127	250	4
15018000	VAMP_DEG_BIN1_CB5_PL87_20141030	Z:/WIEBKE_SANTOSH/20141030/image_data_plate_maps/VAMP_DEG_BIN1_ER_PL87_20141030/Meas_01(2014-10-30_14-08-14)/015018000.flex	ER-PRO	15	510	235	5
6014000	VAMP_DEG_CONTR_BIN1_20141028	Z:/WIEBKE_SANTOSH/20141028/image_data_plate_maps/VAMP_DEG_CONTR_BIN1_PL86_20141028/Meas_01(2014-10-28_13-58-30)/006014000.flex	ER-PRO	6	405	200	5
7023000	VAMP_DEG_BIN1_CB5_PL87_20141030	Z:/WIEBKE_SANTOSH/20141030/image_data_plate_maps/VAMP_DEG_BIN1_ER_PL87_20141030/Meas_01(2014-10-30_14-08-14)/007023000.flex	ER-PRO	20	548	59	5
14014000	VAMP_DEG_CONTR_BIN1_20141028	Z:/WIEBKE_SANTOSH/20141028/image_data_plate_maps/VAMP_DEG_CONTR_BIN1_PL86_20141028/Meas_01(2014-10-28_13-58-30)/014014000.flex	ER-PRO	2	297	211	5
15019000	VAMP_DEG_BIN1_CB5_PL87_20141030	Z:/WIEBKE_SANTOSH/20141030/image_data_plate_maps/VAMP_DEG_BIN1_ER_PL87_20141030/Meas_01(2014-10-30_14-08-14)/015019000.flex	ER-PRO	15	334	329	5
3014000	VAMP_DEG_CONTR_BIN1_20141028	Z:/WIEBKE_SANTOSH/20141028/image_data_plate_maps/VAMP_DEG_CONTR_BIN1_PL86_20141028/Meas_01(2014-10-28_13-58-30)/003014000.flex	ER-PRO	4	219	431	6
10019000	VAMP_DEG_BIN1_CB5_PL87_20141030	Z:/WIEBKE_SANTOSH/20141030/image_data_plate_maps/VAMP_DEG_BIN1_ER_PL87_20141030/Meas_01(2014-10-30_14-08-14)/010019000.flex	ER-PRO	17	127	250	6
8024000	VAMP_DEG_BIN1_CB5_PL87_20141030	Z:/WIEBKE_SANTOSH/20141030/image_data_plate_maps/VAMP_DEG_BIN1_ER_PL87_20141030/Meas_01(2014-10-30_14-08-14)/008024000.flex	ER-PRO	5	442	342	6
15019000	VAMP_DEG_BIN1_CB5_PL87_20141030	Z:/WIEBKE_SANTOSH/20141030/image_data_plate_maps/VAMP_DEG_BIN1_ER_PL87_20141030/Meas_01(2014-10-30_14-08-14)/015019000.flex	ER-PRO	11	179	351	6
15018000	VAMP_DEG_BIN1_CB5_PL87_20141030	Z:/WIEBKE_SANTOSH/20141030/image_data_plate_maps/VAMP_DEG_BIN1_ER_PL87_20141030/Meas_01(2014-10-30_14-08-14)/015018000.flex	ER-PRO	15	510	235	6
